Vehiculo|Grupo|Calificacion|kms|Horas conduccion|Excesos 10 kph|Maxima vel 10 kph|Duracion seg 10 kph|Excesos 20 kph|Maxima vel 20 kph|Duracion seg 20 kph|Excesos 30 kph|Maxima vel 30 kph|Duracion seg 30 kph|Excesos 40 kph|Maxima vel 40 kph|Duracion seg 40 kph|Excesos 50 kph|Maxima vel 50 kph|Duracion seg 50 kph|Excesos 60 kph|Maxima vel 60 kph|Duracion seg 60 kph|Excesos 80 kph|Maxima vel 80 kph|Duracion seg 80 kph|Aceleraciones|Frenadas|
LHW559|RHurtado|100|1887.85|91.05|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|54|
KOY513||100|1885.93|108.82|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
LVY198|ENEL2024|100|1874.60|67.97|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|
LJK859|ENEL2024|100|1832.08|103.59|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|19|
EYZ828|ECOPETROL VRC-TIBÚ|100|1808.18|81.02|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7|
LUY750|ENEL2024|100|1785.61|93.38|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|
LIY559|ENEL2024|100|1783.74|104.12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|
GQV886|ECOPETROL VRC-TIBÚ|100|1776.08|97.61|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
LHW490|RHurtado|100|1775.03|68.67|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|
KOX551|ECOPETROL VRC-MARES CENTRO|100|1763.30|87.26|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|7|
LHT879|RHurtado|100|1747.77|74.86|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|30|
GQW746|ECOPETROL VRC-MARES CENTRO|100|1736.71|105.31|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
GYY559|ECOPETROL VRC-RIO CASABE|100|1677.94|138.73|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|
KYZ091|RHurtado|100|1666.65|60.30|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|11|
KYZ105||100|1662.14|91.94|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
LHW589|ECOPETROL VRC-RIO CASABE|100|1649.87|122.20|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|
LHR697||100|1627.90|88.83|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6|
LHW579|ECOPETROL VRC-MARES CENTRO|100|1612.65|68.91|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|20|
LHT845||100|1556.19|82.49|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|
LHT907|ECOPETROL VRC-MARES CENTRO|100|1546.37|58.00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|
